 Time, $\theta_1$, $\theta_2$, Energy violation
  0.0000000000000000E+00,  1.0471975511965976E+00, -1.0471975511965976E+00,  0.0000000000000000E+00
  3.9062500000000000E-03,  1.0471420166081340E+00, -1.0471605264010124E+00,  2.2204460492503131E-16
  7.8125000000000000E-03,  1.0469754162882954E+00, -1.0470494334740676E+00,  0.0000000000000000E+00
  1.1718750000000000E-02,  1.0466977605579582E+00, -1.0468642168003457E+00,  0.0000000000000000E+00
  1.5625000000000000E-02,  1.0463090665659713E+00, -1.0466047837046166E+00,  0.0000000000000000E+00
  1.9531250000000000E-02,  1.0458093582102201E+00, -1.0462710044774395E+00,  0.0000000000000000E+00
  2.3437500000000000E-02,  1.0451986660270707E+00, -1.0458627124108029E+00,  0.0000000000000000E+00
  2.7343750000000000E-02,  1.0444770270491590E+00, -1.0453797038436059E+00,  2.2204460492503131E-16
  3.1250000000000000E-02,  1.0436444846314668E+00, -1.0448217382167182E+00,  2.2204460492503131E-16
  3.5156250000000000E-02,  1.0427010882456227E+00, -1.0441885381372991E+00,  2.2204460492503131E-16
  3.9062500000000000E-02,  1.0416468932423524E+00, -1.0434797894519925E+00,  0.0000000000000000E+00
  4.2968750000000000E-02,  1.0404819605819888E+00, -1.0426951413285519E+00, -1.1102230246251565E-16
  4.6875000000000000E-02,  1.0392063565329481E+00, -1.0418342063453825E+00,  2.2204460492503131E-16
  5.0781250000000000E-02,  1.0378201523380597E+00, -1.0408965605884177E+00,  0.0000000000000000E+00
  5.4687500000000000E-02,  1.0363234238486332E+00, -1.0398817437546815E+00,  2.2204460492503131E-16
  5.8593750000000000E-02,  1.0347162511261327E+00, -1.0387892592618062E+00,  0.0000000000000000E+00
  6.2500000000000000E-02,  1.0329987180113174E+00, -1.0376185743627080E+00,  0.0000000000000000E+00
  6.6406250000000000E-02,  1.0311709116606973E+00, -1.0363691202645322E+00,  0.0000000000000000E+00
  7.0312500000000000E-02,  1.0292329220501455E+00, -1.0350402922509065E+00, -1.1102230246251565E-16
  7.4218750000000000E-02,  1.0271848414454916E+00, -1.0336314498064465E+00, -1.1102230246251565E-16
  7.8125000000000000E-02,  1.0250267638399122E+00, -1.0321419167423709E+00, -1.1102230246251565E-16
  8.2031250000000000E-02,  1.0227587843579249E+00, -1.0305709813219874E+00, -1.1102230246251565E-16
  8.5937500000000000E-02,  1.0203809986257721E+00, -1.0289178963847141E+00, -3.3306690738754696E-16
  8.9843750000000000E-02,  1.0178935021079742E+00, -1.0271818794671954E+00,  0.0000000000000000E+00
  9.3750000000000000E-02,  1.0152963894098102E+00, -1.0253621129199690E+00, -3.3306690738754696E-16
  9.7656250000000000E-02,  1.0125897535454695E+00, -1.0234577440180257E+00,  0.0000000000000000E+00
  1.0156250000000000E-01,  1.0097736851715993E+00, -1.0214678850634911E+00,  0.0000000000000000E+00
  1.0546875000000000E-01,  1.0068482717859473E+00, -1.0193916134785395E+00, -1.1102230246251565E-16
  1.0937500000000000E-01,  1.0038135968907780E+00, -1.0172279718865225E+00, -1.1102230246251565E-16
